[Charset=windows-1251]

[Individuals]
ID	Gender	Name.First	Name.Middle	Name.Last	Comment	IsAdopted	FamilyRank	Birth.Date	Birthday	Age	Birth.Place	IsDead	Death.Date	Death.Cause	Death.Cause.Description	Death.Place	Death.Childless	Pictures.Count	Pictures	Sources	Mates	Fathers	FathersAgeAtBirth	Mothers	MothersAgeAtBirth	Siblings.Twins	Siblings	Siblings.Half	Siblings.Step	Siblings.Other	Children	Children.Age	AgeAtChildBirths	Employer	Occupation	Occupations	Educations	Contacts	Contact.Address	Contact.Telephone	Contact.TelephoneMobile	Contact.TelephoneWork	Contact.Email	Contact.Homepage	Hyperlink.Internal	Hyperlink	Birth.Baptism.Date	Birth.Baptism.Place	Birth.Baptism.Officiator.Title	Birth.Baptism.Officiator	Birth.Baptism.Godfather	Birth.Baptism.Godmother	Birth.Baptism.Source	Death.Funerals.Date	Death.Funerals.Agency	Death.Funerals.Place	Death.Funerals.Source	Death.Disposition.Type	Death.Disposition.Date	Death.Disposition.Place	Death.Disposition.Source	DataLevel	BloodPurity	Allegiance	FilmPortrayal	House
ind00001	M	Harry		Potter	Harry Potter is the central character of the Harry Potter series. He is a young wizard studying at Hogwarts School of Magic and Wizardry.   He has brilliant green eyes, the same as his mother’s, black hair, perpetually messy, sticks up in the back, same as his father's. He wears round glasses; he is short and thin, with knobbly knees. He has a lightning-bolt scar on forehead.	Y	1	31 Jul 1980	31 Jul	35y 2m 13d		N						5	pic00019, pic00020, pic00021, pic00022, pic00023			ind00002, ind00006	20	ind00003, ind00007	20					ind00004						occu00001	edu00015								Y						Sirius Black											6	Half-blood	Dumbledore's Army, Order of the Phoenix	Daniel Radcliffe	Gryffindor
ind00002	M	Vernon		Dursley	Described as a big, beefy man, with hardly any neck, and a large mustache. He detests all magical things, especially his nephew Harry. He and his wife, Petunia, have grudgingly raised Harry from an early age, denying him any information about the magical world, including his parents. He reads the Daily Mail newspaper. 		2					N						2	pic00002, pic00039		ind00003	ind00026		ind00027			ind00025				ind00001, ind00004	35, 	, 	Drill-making company named "Grunnings"	Director	occu00011	edu00001	contact00001																								6	Muggle born	None	Richard Griffiths	
ind00003	F	Petunia		Evans	Is described as being a blonde woman, with bony hands, a horsey face and a very long neck, which she uses to spy on her neighbours. Was bitter and jealous that her parents were proud to have a witch in the family.		2					N						1	pic00004		ind00002	ind00021		ind00022			ind00007				ind00001, ind00004	35, 	, 			occu00012		contact00001																								5	Muggle born	None	Fiona Shaw	
ind00004	M	Dudley		Dursley	Harry's only cousin, he is described as a large blonde boy. He is completely spoiled, and he gets a horrible delight in bullying smaller kids, and shows a complete lack of sensitivity; he is also a glutton.  Dudley has been thoroughly spoiled since birth, getting mountains of birthday and Christmas presents and then throwing a tantrum because he wanted more, being given two bedrooms in the house, never using one, and then screaming when it is given to Harry and generally given his way in almost everything. He shows the symptoms of a brat from his first year itself, when a disgusted Professor McGonagall tells Dumbledore how she saw the toddler Dudley kicking his mother and screaming for sweets.  A rude, belligerent and selfish boy, Dudley is quite an unlikable character, although he knows how to be polite when he wants to make an impression (notably when his father's business associate came for dinner one evening). It can be inferred that he and Harry went to a private prep school in Surrey together, where Dudley and his gang of bullies ruled the school, and where the rest of the students shunned Harry as they knew Dudley hated him. With each passing year Dudley was overindulged in every way by his parents, which eventually made his morbidly obese and a careless student (he had reached the height and weight of a young killer whale at the beginning of the fourth book). Throughout their childhood together, Dudley would take any opportunity he could to humiliate and torment his cousin, Harry. Unlike his cousin, however, Dudley has no powers outside of his brutishness.		2					N						1	pic00003			ind00002		ind00003			ind00001										edu00002	contact00001																								5	Muggle born	None	Harry Melling	
ind00005	M	Tom	Marvolo	Riddle	Evil wizard, chief antagonist. He desires above all things to secure unmatched power and immortality though Dark magic.  Most wizards fear to speak his name and call him "You-Know-Who" or "He-Who-Must-Not-Be-Named".		1	31 Dec 1926	31 Dec	88y 9m 13d		N						1	pic00038			ind00112	23	ind00113	19												edu00003								Y																	5			Richard Bremmer (1), Christian Coulson (2), Ralph Fiennes (4-5)	
ind00006	M	James		Potter				1960		21		Y	31 Oct 1981								ind00007										ind00001	35	20																													3	Pure blood	Order of the Phoenix, Marauders		Gryffindor
ind00007	F	Lily		Evans	She has bright green almond-shaped eyes.		1	1960		21		Y	31 Oct 1981								ind00006	ind00021		ind00022			ind00003				ind00001	35	20																													4	Muggle born witch	Order of the Phoenix		Gryffindor
ind00008	M	Albus	Perceval Wulfric Brian	Dumbledore	Dumbledore  is one of the most respected men in the Wizarding world. Harry Potter looks to him as his protector and guide.  Dumbledore is described as tall and thin, with long white hair and a long beard. He has blue eyes, a very long and crooked nose (looking as if it had been broken at least twice) and long fingers. He wears half-moon spectacles. He claims to have a scar above his left knee, its provenance unknown, which happens to be a perfect map of the London Underground.  			1840		175		N						3	pic00001, pic00040, pic00041															Hogwarts	Headmaster	occu00002									Y																	5			Richard Harris (1-2), Michael Gambon (3-5)	Gryffindor
ind00009	M	Sirius		Black	Sirius was best friends with James Potter, Harry's father, and was also friends with Remus Lupin and Peter Pettigrew. When the group discovered that Lupin was a werewolf, they studied secretly to become Animagi in solidarity with Lupin, to keep him company during his transformations.  When the Potters went into hiding from Voldemort, they wanted to make Sirius their Secret-Keeper, but at the last minute he convinced them to appoint Pettigrew to the task instead, since no one would suspect such a move. Pettigrew immediately betrayed the Potters to Voldemort, and during the subsequent confrontation with Sirius, caused an explosion to fake his own death, killing twelve nearby Muggle bystanders in the process. Sirius was left framed for Pettigrew's "murder" and those of the bystanders, as well as the Potters' betrayal. In light of the overwhelming evidence against him, his guilt was assumed so completely (in particular by the ruthless Barty Crouch) that he was sent straight to Azkaban without trial and imprisoned there for twelve years, during which he endured relentless mental torture at the hands of the Azkaban guards, the dementors.  His later escape from prison led to the widest manhunt ever in the wizarding world (being the first person known to have escaped Azkaban, though in reality, he is second to Barty Crouch, Jr.), and he fled Europe for a time, only to return on Dumbledore's orders in The Order of the Phoenix, where he was forced to stay in his old family home, Grimmauld Place. It was impossible for The Order to reveal his location and prove him innocent for various reasons. His death at the end of The Order of the Phoenix, in the Ministry itself, led to Dumbledore explaining his story to the Minister of Magic. Tragically, Sirius was only recognized as innocent after his death.		1	7 Aug 1959	7 Aug	36y 10m		Y	Jun 1996				Y	1	pic00025			ind00038	30	ind00039	34		ind00040										edu00003	contact00003							Y																	7	Pure blood, Werewolf	Order of the Phoenix, Marauders	Gary Oldman (3-5)	Gryffindor
ind00010	M	Rubeus		Hagrid	Hagrid is twice as tall as the average man and nearly three times as wide. He loves animals and magical creatures, particularly those that are unusual or dangerous. Hagrid is known for his thick West country accent.  Hagrid is romantically interested with Madame Maxime -- a half-giantess and headmistress of the French magic school Beauxbatons. Hagrid also has a half-brother, a giant named Grawp.			6 Dec 1928	6 Dec	86y 10m 8d		N						1	pic00017															Hogwarts	Care of Magical Creatures Professor	occu00003, occu00034	edu00034								Y																	6	Half-Giant, Half-Human Half-blood	Order of the Phoenix	Robbie Coltrane	Gryffindor
